country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	baseline_lower_95	baseline_upper_95	no_new_exposure_median	no_new_exposure_lower_95	no_new_exposure_upper_95	equal_lineage_median	equal_lineage_lower_95	equal_lineage_upper_95	l10207_reference_median	l10207_reference_lower_95	l10207_reference_upper_95
CHN	2022-05-01	3991	3566.6395615858	3004.50004142256	4229.94607016048	3991	3991	3991	3991	3991	3991	3991	3991	3991	3991	3991	3991
CHN	2022-06-01	4213	3992.25757114336	3353.02238048333	4760.04633554494	4213	4213	4213	4213	4213	4213	4213	4213	4213	4213	4213	4213
CHN	2022-07-01	4234	4078.62903061303	3406.43015405018	4871.66819516494	4234	4234	4234	4234	4234	4234	4234	4234	4234	4234	4234	4234
CHN	2022-08-01	5355	3997.94721210847	3328.47800323307	4816.06534141918	5355	5355	5355	5355	5355	5355	5355	5355	5355	5355	5355	5355
CHN	2022-09-01	3849	4867.46177876741	4000.10120098376	5944.8680142235	3849	3849	3849	3849	3849	3849	3849	3849	3849	3849	3849	3849
CHN	2022-10-01	2594	3565.14128188301	2935.92790510968	4372.70789259396	2594	2594	2594	2594	2594	2594	2594	2594	2594	2594	2594	2594
CHN	2022-11-01	2160	2484.98967353114	2058.00416764481	3044.5638960498	2160	2160	2160	2160	2160	2160	2160	2160	2160	2160	2160	2160
CHN	2022-12-01	1293	2119.70385471016	1772.81654608681	2584.40546674848	1293	1293	1293	1293	1293	1293	1293	1293	1293	1293	1293	1293
CHN	2023-01-01	883	1340.97584419864	1124.07441684685	1633.40213984497	1340.97584419864	1124.07441684685	1633.40213984497	1340.97584419864	1124.07441684685	1633.40213984497	1208.16950664999	1013.67730440622	1474.12765490898	1207.20488187983	1013.51751803847	1472.99665204896
CHN	2023-02-01	538	962.787423296445	803.352545843659	1165.69817654806	1423.62849109202	1013.78233484178	2074.90065537698	1423.62849109202	1013.78233484178	2074.90065537698	1164.05805522926	824.71577313612	1703.67097478187	1162.20222334618	823.011572043029	1701.81226660669
CHN	2023-03-01	821	620.136893623102	514.012946338287	756.979167289659	1563.25031701183	955.394191576776	2655.95572426629	1563.25031701183	955.394191576776	2655.95572426629	1163.00673170965	706.708174946272	2019.88443994645	1161.63031143163	705.910680124116	2012.9056006874
CHN	2023-04-01	1074	968.055406803348	805.246720760492	1180.5862999176	1782.24103969871	935.039742978486	3509.8379384342	1782.24103969871	935.039742978486	3509.8379384342	1209.64144020815	626.159449948954	2432.73131030268	1207.52865433508	625.626918918717	2430.97747186878
CHN	2023-05-01	1334	1308.41669595326	1086.98682996984	1598.44389868767	2103.65502622576	963.512866749576	4724.67740613541	2103.65502622576	963.512866749576	4724.67740613541	1315.41604667383	585.411813344889	3047.65159702076	1312.47424293755	583.007434016157	3043.14292009532
CHN	2023-06-01	1512	1685.99574070462	1402.46283273254	2051.568821202	2572.80044864493	1048.38419309403	6455.83189622117	2572.80044864493	1048.38419309403	6455.83189622117	1502.03421039373	581.365345472494	3878.56204530897	1497.42068491236	579.961696477657	3864.86017614293
CHN	2023-07-01	2767	1996.58729506906	1658.26245897118	2423.39813648315	3290.97004536427	1203.10521847342	9002.07812976374	3290.97004536427	1203.10521847342	9002.07812976374	1780.61299628944	599.536463709529	5130.8300994079	1776.99063667288	597.243498317929	5103.85519975326
CHN	2023-08-01	4793	3673.73369424117	3085.33034365433	4425.00782529946	4329.63294752762	1433.29747792974	12632.6115677911	4329.63294752762	1433.29747792974	12632.6115677911	2215.28619212424	655.974219779891	6804.07008080859	2207.46341567471	653.002353092608	6756.72298288882
CHN	2023-09-01	4517	6381.29302031277	5377.98982439105	7640.22747891143	5792.33060711365	1790.85778978448	18279.5207982873	5792.33060711365	1790.85778978448	18279.5207982873	2838.62821028274	751.908448118936	9203.10602703696	2823.04813846031	747.828043405168	9194.8075565397
CHN	2023-10-01	4430	6303.19675149561	5317.24037139643	7507.89175047383	7878.61457951892	2304.20793117716	25996.8451642273	7878.61457951892	2304.20793117716	25996.8451642273	3717.35180253764	885.454855942371	12322.4132263571	3692.62155031516	885.034434480394	12299.3275185266
CHN	2023-11-01	6410	6406.81259858388	5360.6315920187	7649.42490004721	10709.9067146956	3010.82997505742	36232.5491059462	10709.9067146956	3010.82997505742	36232.5491059462	4884.85946799849	1073.28351546719	16501.6761908468	4858.03901020321	1070.89613080171	16476.5188132681
CHN	2023-12-01	9126	9176.86621356415	7671.89034718859	10982.5782086829	14487.299212411	3957.96810408178	52168.0547390716	14487.299212411	3957.96810408178	52168.0547390716	6468.79031392082	1306.16348835257	22057.350805107	6436.63245350114	1305.20994123342	21935.8843471852
